match_id,condition,delta_t,alpha,vmax
J03WPY,constant_no_noise,0.2,0.9525946580636798,12.421476083892612
J03WPY,constant_no_noise,0.48,0.9472145873764266,12.400887109822321
J03WPY,constant_no_noise,1.0,0.9445462083865073,12.396038910491137
J03WPY,constant_no_noise,2.0,0.9417743159168893,12.394355235445824
J03WPY,constant_no_noise,3.0,0.9391131392599623,12.393890612348988
J03WPY,constant_noise_sigma0.1,0.2,0.954002613299012,13.751201313143842
J03WPY,constant_noise_sigma0.1,0.48,0.9469649643193817,12.45086120928947
J03WPY,constant_noise_sigma0.1,1.0,0.9443102489358196,12.401409415048123
J03WPY,constant_noise_sigma0.1,2.0,0.9417676673820315,12.395246256336515
J03WPY,constant_noise_sigma0.1,3.0,0.9390373130633389,12.394263570546292
J03WPY,constant_noise_sigma0.3,0.2,0.9568196313941585,23.65160776543766
J03WPY,constant_noise_sigma0.3,0.48,0.9464657099315955,12.828583701246862
J03WPY,constant_noise_sigma0.3,1.0,0.9438385120182519,12.431487683953678
J03WPY,constant_noise_sigma0.3,2.0,0.9417543936153225,12.399028978618446
J03WPY,constant_noise_sigma0.3,3.0,0.9388856678506968,12.395619507702346
J03WPY,constant_noise_sigma0.5,0.2,0.95963769086809,36.37357251379285
J03WPY,constant_noise_sigma0.5,0.48,0.9459665321863413,13.625106256668747
J03WPY,constant_noise_sigma0.5,1.0,0.9433669110862433,12.487537258389107
J03WPY,constant_noise_sigma0.5,2.0,0.9417411200430686,12.405481321541199
J03WPY,constant_noise_sigma0.5,3.0,0.9387340565582806,12.397789000693312
J03WPY,constant_noise_sigma1.0,0.2,0.9666874003067452,69.71967910938132
J03WPY,constant_noise_sigma1.0,0.48,0.9447189229909352,17.51038891111184
J03WPY,constant_noise_sigma1.0,1.0,0.9421885032211166,12.744531283735121
J03WPY,constant_noise_sigma1.0,2.0,0.9417079369631391,12.433316766550032
J03WPY,constant_noise_sigma1.0,3.0,0.9383551766417848,12.406775890050795
J03WPY,timevarying_no_noise,0.2,0.024093914361114938,186.03716064792516
J03WPY,timevarying_no_noise,0.48,0.024916072075087302,175.17237466462245
J03WPY,timevarying_no_noise,1.0,0.057070273843470375,72.33787995218233
J03WPY,timevarying_no_noise,2.0,0.22522238402955266,15.397176595677637
J03WPY,timevarying_no_noise,3.0,0.32639947032611355,9.345392522542802
J03WPY,timevarying_noise,0.2,0.027830936021738407,690.0035118802799
J03WPY,timevarying_noise,0.48,0.02435529066659283,215.1036615801961
J03WPY,timevarying_noise,1.0,0.05666842411446864,73.63460363798819
J03WPY,timevarying_noise,2.0,0.2252139112629133,15.42123645022373
J03WPY,timevarying_noise,3.0,0.3263167796758012,9.350428512715593
